entity,n-revs
drivers/media/platform/verisilicon/hantro_g1.c,17
Documentation/devicetree/bindings/leds/leds-ns2.txt,17
drivers/gpu/drm/i915/i915_debugfs.c,17
arch/riscv/include/asm/syscall_wrapper.h,17
"Documentation/devicetree/bindings/interrupt-controller/arm,versatile-fpga-irq.txt",17
arch/sparc/include/asm/mc146818rtc_32.h,17
sound/firewire/amdtp-am824.h,17
drivers/iio/buffer/Kconfig,17
drivers/soundwire/amd_init.c,17
LICENSES/deprecated/GFDL-1.2,17
tools/testing/selftests/ftrace/test.d/trigger/inter-event/trigger-synthetic-event-syntax.tc,17
drivers/media/i2c/saa7185.c,17
drivers/net/ethernet/qlogic/qla3xxx.c,17
drivers/usb/host/r8a66597-hcd.c,17
drivers/net/usb/sr9700.c,17
Documentation/translations/zh_CN/scheduler/completion.rst,17
drivers/usb/host/isp1362.h,17
arch/arm64/boot/dts/qcom/sc7180-trogdor-lazor-r9.dts,17
drivers/gpu/drm/nouveau/nvkm/subdev/mmu/mcp77.c,17
drivers/iio/buffer/industrialio-buffer-cb.c,17
lib/objagg.c,17
arch/m68k/include/asm/pci.h,17
Documentation/driver-api/target.rst,17
drivers/gpu/drm/bridge/parade-ps8622.c,17
drivers/usb/host/ehci-sh.c,17
arch/alpha/include/asm/mmu_context.h,17
drivers/scsi/bfa/bfa_core.c,17
drivers/misc/ntsync.c,17
include/crypto/sm3.h,17
include/linux/pwm.h,17
tools/testing/selftests/bpf/progs/btf__core_reloc_ints.c,17
drivers/gpu/drm/nouveau/nvif/event.c,17
drivers/media/pci/intel/ipu3/ipu3-cio2.c,17
drivers/soundwire/cadence_master.c,17
Documentation/Kconfig,17
drivers/dma/hisi_dma.c,17
tools/testing/selftests/kvm/get-reg-list.c,17
drivers/phy/qualcomm/phy-qcom-ipq806x-usb.c,17
Documentation/devicetree/bindings/display/lvds.yaml,17
include/linux/dma/k3-udma-glue.h,17
drivers/net/wireless/realtek/rtl818x/rtl8180/rtl8225se.c,17
include/pcmcia/ss.h,17
arch/arm/boot/dts/samsung/exynos4412-n710x.dts,17
tools/testing/selftests/amd-pstate/tbench.sh,17
include/scsi/scsi_transport_fc.h,17
fs/ext4/ext4_jbd2.h,17
fs/proc/array.c,17
arch/arm/boot/dts/nxp/imx/imx6q-wandboard-revb1.dts,17
drivers/iio/light/isl29028.c,17
sound/pci/emu10k1/emu10k1_synth.c,17
drivers/gpu/drm/xe/regs/xe_engine_regs.h,17
include/linux/sched.h,17
"Documentation/devicetree/bindings/iio/magnetometer/asahi-kasei,ak8975.yaml",17
tools/power/pm-graph/README,17
drivers/misc/pvpanic/pvpanic-mmio.c,17
tools/testing/vsock/timeout.h,17
include/drm/drm_atomic_uapi.h,17
include/linux/node.h,17
Documentation/driver-api/80211/mac80211-advanced.rst,17
include/net/netlink.h,17
drivers/input/rmi4/rmi_2d_sensor.c,17
sound/pci/asihpi/hpi6205.h,17
drivers/gpu/drm/nouveau/dispnv50/sorc37d.c,17
tools/perf/tests/shell/record.sh,17
tools/testing/selftests/bpf/progs/strncmp_test.c,17
drivers/net/ethernet/qualcomm/emac/emac-phy.c,17
sound/soc/intel/common/soc-acpi-intel-mtl-match.c,17
drivers/gpu/drm/solomon/ssd130x-spi.c,17
arch/arm/mach-s3c/usb-phy.h,17
drivers/reset/reset-ti-sci.c,17
fs/bcachefs/snapshot.h,17
drivers/net/ethernet/packetengines/hamachi.c,17
Documentation/arch/x86/x86_64/machinecheck.rst,17
arch/powerpc/boot/cuboot-83xx.c,17
drivers/gpu/drm/meson/meson_encoder_dsi.h,17
drivers/acpi/acpica/utxface.c,17
arch/arm64/boot/dts/arm/rtsm_ve-motherboard-rs2.dtsi,17
drivers/md/persistent-data/dm-bitset.h,17
arch/arm/boot/dts/nxp/imx/imx53-m53evk.dts,17
arch/arm64/boot/dts/renesas/r8a779f0.dtsi,17
net/sched/cls_u32.c,17
Documentation/devicetree/bindings/net/fsl-tsec-phy.txt,17
drivers/gpu/drm/amd/include/asic_reg/mp/mp_10_0_default.h,17
Documentation/networking/net_cachelines/netns_ipv4_sysctl.rst,17
drivers/scsi/fcoe/Makefile,17
tools/testing/selftests/bpf/benchs/bench_bpf_hashmap_full_update.c,17
"Documentation/devicetree/bindings/sound/amlogic,axg-fifo.yaml",17
tools/gpio/gpio-utils.h,17
drivers/interconnect/qcom/qcm2290.c,17
Documentation/watchdog/convert_drivers_to_kernel_api.rst,17
tools/testing/selftests/bpf/progs/bpf_iter_tcp4.c,17
Documentation/tools/rtla/rtla-timerlat-top.rst,17
drivers/pinctrl/intel/pinctrl-tangier.c,17
include/linux/ipack.h,17
arch/s390/include/asm/vdso/gettimeofday.h,17
tools/net/ynl/samples/netdev.c,17
tools/testing/selftests/net/config,17
drivers/clk/tegra/clk-bpmp.c,17
arch/powerpc/configs/mpc512x_defconfig,17
fs/ecryptfs/file.c,17
drivers/hwmon/f71882fg.c,17
drivers/media/platform/samsung/exynos4-is/fimc-capture.c,17
drivers/dma/ti/omap-dma.c,17
arch/s390/include/uapi/asm/ucontext.h,17
sound/soc/kirkwood/kirkwood-dma.c,17
Documentation/core-api/index.rst,17
drivers/hwmon/pmbus/max16601.c,17
drivers/net/usb/cdc_mbim.c,17
tools/testing/selftests/seccomp/.gitignore,17
drivers/watchdog/watchdog_core.h,17
sound/soc/codecs/wm8753.c,17
tools/testing/selftests/hid/hid-mouse.sh,17
drivers/net/wireless/ath/ath9k/wmi.h,17
drivers/staging/media/atomisp/pci/isp/kernels/ipu2_io_ls/bayer_io_ls/ia_css_bayer_io.host.h,17
drivers/net/wireless/mediatek/mt7601u/usb.h,17
arch/arm/boot/dts/st/ste-ux500-samsung-gavini.dts,17
drivers/counter/counter-sysfs.h,17
tools/perf/trace/beauty/mmap_prot.sh,17
arch/mips/crypto/poly1305-mips.pl,17
